N_OBS,dim,seed,eps,alg,dt,sampling_steps,sw,sw_norm
4,10,0,0.0,JAC,0.8532199859619141,50,0.7044755220413208,0.5675699084997177
4,10,0,0.0,JAC,2.588653564453125,150,0.7148669362068176,0.5779613226652145
4,10,0,0.0,JAC,6.947054386138916,400,0.8285468220710754,0.6916412085294723
4,10,0,0.0,JAC,17.195878982543945,1000,0.9027186632156372,0.7658130496740341
4,10,0,0.0,Langevin,1.585418939590454,50,0.9484508633613586,0.7099588811397552
4,10,0,0.0,Langevin,4.645728588104248,150,0.9584640264511108,0.7199720442295074
4,10,0,0.0,Langevin,12.326416015625,400,0.9283438920974731,0.6898519098758698
4,10,0,0.0,Langevin,31.07054305076599,1000,1.0144739151000977,0.7759819328784943
4,10,0,0.0,GAUSS,0.89693284034729,50,0.8089052438735962,0.5704132616519928
4,10,0,0.0,GAUSS,1.6101481914520264,150,0.839963972568512,0.6014719903469086
4,10,0,0.0,GAUSS,3.459416627883911,400,0.8958680033683777,0.6573760211467743
4,10,0,0.0,GAUSS,7.906293630599976,1000,0.8220292329788208,0.5835372507572174
4,10,0,0.0,JAC,0.8532199859619141,50,0.7210121154785156,0.48252013325691223
4,10,0,0.0,JAC,2.588653564453125,150,0.7806364297866821,0.5421444475650787
4,10,0,0.0,JAC,6.947054386138916,400,0.7893086671829224,0.550816684961319
4,10,0,0.0,JAC,17.195878982543945,1000,0.8658793568611145,0.6273873746395111
8,10,0,0.0,Langevin,1.5573265552520752,50,0.031152335926890373,0.0071266196668148055
8,10,0,0.0,Langevin,4.703602075576782,150,0.027291232720017433,0.0032655164599418654
8,10,0,0.0,Langevin,12.487976312637329,400,0.0255330391228199,0.0015073228627443327
8,10,0,0.0,Langevin,37.42575454711914,1000,0.029673531651496887,0.0056478153914213194
8,10,0,0.0,GAUSS,0.8627746105194092,50,0.44012901186943054,0.416103295609355
8,10,0,0.0,GAUSS,1.6095118522644043,150,0.4405732750892639,0.41654755882918837
8,10,0,0.0,GAUSS,3.503816843032837,400,0.3576776087284088,0.33365189246833327
8,10,0,0.0,GAUSS,7.969720363616943,1000,0.2920295000076294,0.26800378374755385
8,10,0,0.0,JAC,0.8509938716888428,50,0.10827779769897461,0.08425208143889903
8,10,0,0.0,JAC,2.605273723602295,150,0.08954119682312012,0.06551548056304454
8,10,0,0.0,JAC,6.914555788040161,400,0.044771600514650345,0.020745884254574777
8,10,0,0.0,JAC,17.275665521621704,1000,0.08600583672523499,0.06198012046515942
8,10,0,0.0,Langevin,1.5573265552520752,50,0.030201848596334457,0.003402946144342424
8,10,0,0.0,Langevin,4.703602075576782,150,0.02879907377064228,0.002000171318650247
8,10,0,0.0,Langevin,12.487976312637329,400,0.025319766253232956,-0.0014791361987590776
8,10,0,0.0,Langevin,37.42575454711914,1000,0.02953028865158558,0.0027313861995935454
8,10,0,0.0,GAUSS,0.8627746105194092,50,0.45427605509757996,0.42747715264558794
8,10,0,0.0,GAUSS,1.6095118522644043,150,0.43180009722709656,0.40500119477510454
8,10,0,0.0,GAUSS,3.503816843032837,400,0.3580842614173889,0.3312853589653969
8,10,0,0.0,GAUSS,7.969720363616943,1000,0.2922881841659546,0.2654892817139626
8,10,0,0.0,JAC,0.8509938716888428,50,0.11049600690603256,0.08369710445404052
8,10,0,0.0,JAC,2.605273723602295,150,0.0888986811041832,0.062099778652191163
8,10,0,0.0,JAC,6.914555788040161,400,0.04787623509764671,0.02107733264565468
8,10,0,0.0,JAC,17.275665521621704,1000,0.08815360814332962,0.06135470569133759
8,10,0,0.0,Langevin,1.5573265552520752,50,0.03090386651456356,0.0042271759361028685
8,10,0,0.0,Langevin,4.703602075576782,150,0.027913369238376617,0.0012366786599159255
8,10,0,0.0,Langevin,12.487976312637329,400,0.025737378746271133,-0.0009393118321895585
8,10,0,0.0,Langevin,37.42575454711914,1000,0.02912735939025879,0.002450668811798097
