N_OBS,dim,seed,eps,alg,dt,sampling_steps,sw,sw_norm
8,2,0,0.0,JAC,0.3514597415924072,50,0.02902711182832718,-0.01427384316921234
8,2,0,0.0,JAC,1.0483012199401855,150,0.04006374254822731,-0.0032372124493122087
8,2,0,0.0,JAC,2.7945282459259033,400,0.038836076855659485,-0.004464878141880034
8,2,0,0.0,JAC,6.993844985961914,1000,0.042931001633405685,-0.00036995336413383345
16,2,0,0.0,Langevin,0.6424074172973633,50,0.06106271594762802,0.03577632904052734
16,2,0,0.0,Langevin,1.8919777870178223,150,0.05339333415031433,0.028106947243213654
16,2,0,0.0,Langevin,5.010875225067139,400,0.05888090282678604,0.03359451591968536
16,2,0,0.0,Langevin,12.50693678855896,1000,0.05375683307647705,0.028470446169376374
16,2,0,0.0,GAUSS,0.33443737030029297,50,0.038727205246686935,0.013440818339586259
16,2,0,0.0,GAUSS,0.7297382354736328,150,0.027264203876256943,0.001977816969156266
16,2,0,0.0,GAUSS,1.7083039283752441,400,0.027930855751037598,0.002644468843936921
16,2,0,0.0,GAUSS,3.8025972843170166,1000,0.04126675799489021,0.015980371087789536
16,2,0,0.0,JAC,0.3487248420715332,50,0.037580348551273346,0.01229396164417267
16,2,0,0.0,JAC,1.0507075786590576,150,0.02769985981285572,0.0024134729057550437
16,2,0,0.0,JAC,2.7972896099090576,400,0.026467178016901016,0.0011807911098003394
16,2,0,0.0,JAC,7.031240224838257,1000,0.022118739783763885,-0.0031676471233367913
32,2,0,0.0,Langevin,0.6257369518280029,50,3091.7900390625,3091.7714653303847
32,2,0,0.0,Langevin,1.8786373138427734,150,0.026578426361083984,0.008004694245755672
32,2,0,0.0,Langevin,5.011447429656982,400,0.026619257405400276,0.008045525290071964
32,2,0,0.0,Langevin,12.55208683013916,1000,0.029844943434000015,0.011271211318671703
32,2,0,0.0,GAUSS,0.37172555923461914,50,0.020822016522288322,0.0022482844069600105
32,2,0,0.0,GAUSS,0.7307119369506836,150,0.02330024726688862,0.0047265151515603065
32,2,0,0.0,GAUSS,1.7355639934539795,400,0.027235107496380806,0.008661375381052494
32,2,0,0.0,GAUSS,3.808114767074585,1000,0.013697704300284386,-0.004876027815043926
32,2,0,0.0,JAC,0.35130763053894043,50,0.0324651263654232,0.01389139425009489
32,2,0,0.0,JAC,1.0565822124481201,150,0.019298650324344635,0.0007249182090163231
32,2,0,0.0,JAC,2.811260223388672,400,0.01627790555357933,-0.0022958265617489815
32,2,0,0.0,JAC,7.031383037567139,1000,0.02024552971124649,0.0016717975959181786
64,2,0,0.0,Langevin,0.6331706047058105,50,,
64,2,0,0.0,Langevin,1.90639328956604,150,0.012032443657517433,-0.0005777698010206219
64,2,0,0.0,Langevin,5.0619611740112305,400,0.022997615858912468,0.010387402400374413
64,2,0,0.0,Langevin,12.686204671859741,1000,0.013550827279686928,0.0009406138211488727
64,2,0,0.0,GAUSS,0.3422417640686035,50,0.02121666632592678,0.008606452867388726
64,2,0,0.0,GAUSS,0.737983226776123,150,0.011767297051846981,-0.000842916406691074
64,2,0,0.0,GAUSS,1.6841299533843994,400,0.015983449295163155,0.0033732358366250995
64,2,0,0.0,GAUSS,3.8888003826141357,1000,0.015986690297722816,0.0033764768391847614
64,2,0,0.0,JAC,0.35354137420654297,50,0.027378078550100327,0.014767865091562271
64,2,0,0.0,JAC,1.0591578483581543,150,0.016485342755913734,0.0038751292973756794
64,2,0,0.0,JAC,2.8258275985717773,400,0.012392616830766201,-0.00021759662777185405
64,2,0,0.0,JAC,7.1050498485565186,1000,0.014454497024416924,0.0018442835658788684
90,2,0,0.0,Langevin,0.6358199119567871,50,,
90,2,0,0.0,Langevin,1.9214723110198975,150,601716160.0,601716159.9894484
90,2,0,0.0,Langevin,5.08473539352417,400,0.020190726965665817,0.009639182314276695
90,2,0,0.0,Langevin,12.699347496032715,1000,0.016617923974990845,0.006066379323601722
90,2,0,0.0,GAUSS,0.3397090435028076,50,0.020430855453014374,0.009879310801625251
90,2,0,0.0,GAUSS,0.7448725700378418,150,0.009058445692062378,-0.0014930989593267448
90,2,0,0.0,GAUSS,1.672168493270874,400,0.01126985065639019,0.0007183060050010674
90,2,0,0.0,GAUSS,3.852145195007324,1000,0.010475526563823223,-7.601808756589959e-05
90,2,0,0.0,JAC,0.36879515647888184,50,0.029512707144021988,0.018961162492632865
90,2,0,0.0,JAC,1.0676791667938232,150,0.013366781175136566,0.0028152365237474435
90,2,0,0.0,JAC,2.8479971885681152,400,0.01259387657046318,0.002042331919074058
90,2,0,0.0,JAC,7.1177756786346436,1000,0.011997765861451626,0.0014462212100625031
2,2,1,0.0,Langevin,0.627795934677124,50,1.058994174003601,0.972078338265419
2,2,1,0.0,Langevin,1.8850135803222656,150,1.0379555225372314,0.9510396867990494
2,2,1,0.0,Langevin,5.016801357269287,400,1.0007011890411377,0.9137853533029556
2,2,1,0.0,Langevin,12.577030658721924,1000,0.9977222084999084,0.9108063727617264
2,2,1,0.0,GAUSS,0.338529109954834,50,0.05772947520017624,-0.02918636053800583
2,2,1,0.0,GAUSS,0.7359790802001953,150,0.05893596634268761,-0.02797986939549446
2,2,1,0.0,GAUSS,1.7379841804504395,400,0.05679740384221077,-0.030118431895971298
2,2,1,0.0,GAUSS,3.8361353874206543,1000,0.06663989275693893,-0.020275942981243134
2,2,1,0.0,JAC,0.35271120071411133,50,0.08076287806034088,-0.0061529576778411865
2,2,1,0.0,JAC,1.0575807094573975,150,0.06453127413988113,-0.022384561598300934
2,2,1,0.0,JAC,2.8205816745758057,400,0.05423012003302574,-0.032685715705156326
2,2,1,0.0,JAC,7.056309461593628,1000,0.06927888840436935,-0.017636947333812714
4,2,1,0.0,Langevin,0.6284589767456055,50,0.7294965386390686,0.6759666420519352
4,2,1,0.0,Langevin,1.886176586151123,150,0.629943311214447,0.5764134146273137
4,2,1,0.0,Langevin,5.043964147567749,400,0.6406217813491821,0.5870918847620488
